age,income,loan_amount,employment_years,has_previous_loans,credit_score,defaulted_before,approved
29,38887,9610,9,1,769,0,1
60,63116,9239,28,0,699,0,1
40,84936,19594,11,0,712,0,1
57,44984,16469,29,1,663,0,1
27,15777,15949,8,1,725,0,0
29,30968,12882,10,1,673,0,1
33,65369,14230,8,0,695,0,1
67,39210,8524,34,1,678,0,1
57,56448,17693,38,0,716,0,1
56,76867,20341,0,0,744,0,1
22,69667,17281,1,0,725,0,1
30,45592,12763,10,1,706,0,1
21,39506,15817,5,1,707,0,1
58,40898,19852,2,1,754,0,0
66,58302,23295,45,1,747,0,1
57,78401,13609,37,1,657,0,1
24,48579,22667,1,1,673,0,1
56,38955,14572,24,0,699,0,1
25,46078,7883,9,1,681,0,1
42,53249,16566,16,1,667,0,1
40,66148,23611,16,0,661,0,1
54,46589,17668,14,1,743,0,1
58,43077,16338,22,0,710,0,1
44,43301,6797,2,1,700,1,1
51,43221,15480,18,0,621,0,1
50,35923,8608,13,0,686,0,1
56,62809,8308,30,0,578,0,1
57,31451,21934,23,0,633,1,1
38,42953,15015,19,1,715,0,1
23,63902,25964,0,1,709,0,1
21,52447,12937,4,0,680,0,1
66,39434,24191,27,1,608,0,1
24,49383,12896,4,1,772,0,1
61,62899,16787,6,0,641,0,1
54,36601,6956,32,0,718,0,1
53,23403,22158,5,0,739,0,1
22,55833,17547,4,0,705,0,1
20,73358,15798,3,1,696,0,1
28,35438,22191,12,1,607,0,1
21,65776,11610,4,0,675,1,1
57,56332,15011,36,0,655,0,1
39,49500,18563,13,0,735,0,1
21,34227,22462,5,0,714,0,1
29,48110,16802,8,0,621,0,0
55,63062,15575,32,0,725,1,1
45,20872,23944,26,0,677,1,1
32,42337,15159,1,0,699,0,1
37,32070,14559,13,1,741,0,1
44,83857,19749,20,1,640,1,1
32,24916,16657,12,1,753,0,1
56,36886,15689,4,0,710,0,1
19,66880,13777,3,1,668,0,1
18,45273,14521,1,0,761,0,1
52,39959,14998,8,0,662,0,1
46,22593,12209,7,0,661,0,1
54,41454,10206,17,1,569,0,1
21,60529,24048,4,0,672,0,1
48,45579,13694,32,0,718,1,1
60,60620,20285,25,0,599,0,1
23,53120,13550,4,1,657,1,1
42,41030,8224,4,0,566,0,1
49,49083,11839,20,1,583,0,0
51,-1178,21710,5,1,674,1,1
53,67544,16614,23,0,722,0,1
43,34394,7017,1,0,658,1,1
60,77842,17394,42,0,655,0,1
42,45086,15281,21,1,621,0,1
61,52382,5518,15,0,716,0,1
57,57778,21627,41,1,731,0,1
25,88439,7223,6,0,739,0,1
41,45728,12887,8,0,676,0,1
47,36989,10869,22,1,680,0,1
31,41563,17215,6,0,689,0,1
43,38694,13954,24,0,591,0,1
53,71499,20593,21,0,725,0,1
42,70244,16653,1,1,742,0,1
18,36368,18570,2,1,735,0,1
60,53029,17510,18,1,742,0,1
59,45980,22253,31,0,692,0,1
34,76191,10136,1,0,622,0,1
60,39320,5454,24,1,619,0,1
22,55593,12860,0,0,756,0,1
59,38593,10467,25,1,665,0,1
33,79202,12884,10,0,608,0,1
25,45947,10428,0,0,636,0,1
51,13758,18320,16,1,689,0,0
25,53891,13981,3,1,655,0,1
35,67701,17933,3,0,686,0,1
18,58583,20145,0,0,690,0,1
25,49762,14315,0,0,764,0,1
49,74773,9827,22,0,707,0,1
46,39109,16024,5,1,708,0,1
28,33214,25579,2,1,609,0,1
18,48654,8386,1,0,706,1,0
21,54159,13326,4,1,621,0,1
64,57660,11699,33,0,769,0,1
61,43077,11764,33,0,662,0,1
45,56251,12905,1,0,622,0,1
62,45091,11008,6,0,644,0,1
42,46119,15938,24,0,717,0,1
64,70763,10320,12,1,680,0,1
30,39915,8071,5,1,694,0,0
23,33679,7011,2,0,674,0,1
60,20436,14155,39,0,645,0,1
32,63867,16273,12,1,597,0,1
65,67861,14013,26,1,786,0,0
34,68538,13538,14,0,616,1,1
59,53228,14643,21,1,665,1,1
57,33117,10558,22,1,661,0,1
47,15779,8021,22,1,662,0,1
45,76841,10652,2,1,644,0,1
63,56387,7710,31,0,621,0,1
18,67878,19757,0,0,692,0,1
56,51788,9122,23,0,584,0,1
38,40934,16143,11,1,671,0,1
45,51981,20015,20,0,640,1,1
63,42618,17969,13,0,740,0,1
55,38540,10810,2,0,704,0,0
67,63766,6721,20,0,764,0,1
28,50681,14770,9,1,711,0,1
51,8024,23361,13,0,682,0,1
23,44835,11286,2,1,752,1,1
56,50779,9363,3,0,608,0,1
44,55157,20375,26,1,850,0,0
37,59238,13711,8,0,738,0,1
27,63539,21575,6,1,714,0,1
58,70415,11494,7,0,710,0,1
20,31945,12859,3,1,725,0,1
29,39189,18774,1,0,800,0,1
47,38725,13871,15,0,714,0,1
55,42539,12646,3,1,680,0,1
55,16833,5198,27,0,710,0,1
66,28207,15715,31,0,644,0,1
63,61744,24780,47,1,682,0,1
18,62631,8663,1,1,659,0,1
61,47671,12624,33,1,713,0,1
48,20391,15686,3,1,719,0,0
30,53505,7757,8,1,703,0,1
51,36640,19986,4,0,740,0,1
56,42444,8577,26,1,734,0,1
43,59638,15679,7,1,697,0,0
65,75747,8008,0,0,653,0,1
37,51889,16589,17,1,662,0,1
45,76366,13057,17,1,629,0,1
48,69433,9299,24,1,586,0,1
56,45530,13108,24,0,674,1,1
33,32740,20529,11,1,673,0,1
59,59782,21657,31,0,787,0,1
29,47316,12870,3,0,743,1,1
23,18393,16553,2,0,697,1,1
19,65036,13777,1,0,722,1,1
44,34758,14360,9,0,677,0,1
67,81320,11203,1,1,636,0,1
68,47095,7898,9,1,657,0,1
28,63737,19831,9,0,685,0,1
35,53617,3639,10,1,726,0,1
53,55462,16108,13,0,634,0,1
54,34200,18111,9,1,742,0,1
67,61918,11375,41,1,609,0,1
63,52830,22858,36,1,732,0,1
50,78439,12062,3,1,676,0,1
47,49079,16650,22,1,699,0,1
22,53058,15961,3,0,683,0,1
43,69485,9604,24,1,666,0,1
32,74378,13090,13,1,758,0,1
53,46777,26957,21,1,680,1,1
29,45984,8285,7,0,675,0,1
59,62495,18125,28,1,766,0,1
24,32833,8498,3,1,708,0,1
32,37192,20368,5,1,672,0,1
31,55596,23295,8,1,693,0,1
52,71388,21485,10,1,743,0,1
28,38508,15193,10,1,680,0,1
39,26202,15631,11,0,609,0,1
36,77261,19007,16,1,623,0,1
44,47456,15133,26,0,775,0,1
46,41105,8977,27,0,688,0,1
21,55074,20451,4,0,557,0,0
46,63015,19915,13,0,659,0,1
51,21634,16306,14,0,630,0,1
33,49961,15806,1,0,649,0,1
68,57438,12602,0,0,655,1,1
61,61106,15313,34,1,679,0,1
66,40771,14773,39,0,626,0,1
59,63271,17757,31,0,678,1,1
25,73560,12609,5,1,588,0,1
62,28114,20440,34,1,597,0,0
23,45813,4933,0,0,770,0,1
38,42546,24143,20,0,692,0,1
62,47760,10281,15,1,648,0,1
62,12998,6747,19,1,729,0,1
59,61044,25034,5,1,711,0,1
43,69620,13758,8,0,751,0,1
32,55705,17961,14,1,714,0,1
57,41144,14397,1,1,705,0,1
32,49785,22632,16,1,634,0,1
46,73577,20504,16,1,716,0,1
33,49830,9742,16,0,688,1,1
24,43879,16297,8,1,800,1,0
41,69517,13337,1,1,712,1,1
24,66916,11439,3,0,727,0,1
47,43769,13095,30,0,743,0,1
34,42175,14051,9,0,728,0,1
69,42065,15514,7,1,647,0,1
68,59769,13696,1,0,685,1,1
39,52861,12847,13,1,644,0,1
37,55942,5745,2,0,625,0,1
65,43979,10318,40,1,678,1,1
49,56574,14265,9,1,743,1,1
58,60599,12111,5,0,730,0,1
21,54595,11722,5,0,689,0,1
50,47211,18501,4,1,671,0,1
68,60176,14287,2,0,718,0,1
43,65136,9651,3,1,619,0,1
47,52936,14968,6,0,708,0,1
38,50997,13950,16,1,693,0,1
58,47933,9762,11,1,658,0,1
52,45930,11189,26,0,682,0,1
20,54294,22868,2,0,647,0,1
63,34065,14954,3,1,654,0,1
30,57657,16070,13,0,659,1,1
31,75710,19900,0,1,558,0,1
24,65753,13342,6,1,710,0,1
67,36078,22088,19,1,625,0,1
64,62008,16030,29,1,693,0,1
48,40331,18577,6,0,714,1,1
25,65194,17043,7,0,794,0,1
25,61493,22016,6,0,710,0,1
63,36128,12014,36,0,713,0,1
31,54890,18832,15,0,697,0,1
59,47595,18946,1,1,744,0,1
64,25669,20068,31,0,808,0,1
23,68492,12287,4,0,688,0,0
33,54386,19943,9,0,726,0,1
54,33753,11585,4,0,760,0,1
22,64449,25033,3,1,639,1,1
28,76371,7670,0,0,695,0,1
38,34077,19892,5,1,714,0,1
20,15800,17856,4,1,704,0,1
51,54234,8843,35,0,618,0,1
40,21213,9431,14,0,650,0,1
43,44273,16915,22,1,644,0,1
46,45100,12930,22,0,645,0,1
27,35235,10319,7,0,668,0,1
25,46696,24027,6,0,648,1,1
30,56427,21326,9,0,719,0,1
22,65039,4967,0,0,650,0,1
49,71896,17374,0,1,631,0,1
32,54273,16789,6,0,712,0,1
52,78255,19145,26,1,671,0,1
50,11599,9628,1,0,786,0,0
21,52201,6045,2,0,634,0,1
18,63011,19639,0,1,635,0,1
55,56723,13375,9,1,699,0,1
30,75380,8986,10,1,709,0,1
33,49170,23489,12,0,721,0,1
60,29453,21693,31,1,670,0,1
62,61337,10990,25,1,641,0,1
41,40282,24201,22,0,666,1,1
39,41341,15344,11,1,725,0,1
56,32220,12927,17,0,697,1,1
67,30732,17130,12,1,663,0,1
68,66551,18068,52,0,754,0,1
69,46511,27780,40,1,687,0,1
34,46445,17985,11,0,682,0,1
46,25871,15052,0,1,646,0,1
18,72645,2358,0,1,737,0,1
27,30325,19414,6,1,666,0,1
66,69428,11654,13,1,701,1,1
63,58418,10981,40,1,631,0,1
46,77436,14808,27,1,749,0,1
61,39337,17086,0,1,681,0,1
19,59851,4497,1,1,662,1,1
25,50014,19677,9,0,676,0,1
45,61543,21019,14,1,652,1,1
44,35409,18654,0,1,613,1,0
61,31408,15139,15,1,621,0,1
19,40829,15372,1,0,687,0,1
32,62673,17810,8,1,704,0,1
34,34929,12094,3,0,705,0,1
57,37374,11612,20,1,683,0,1
69,57168,9446,14,1,698,0,1
56,48493,17672,35,1,722,0,1
54,37946,15545,5,1,697,0,1
44,31670,6458,19,0,623,0,1
33,76424,9573,12,1,702,0,1
67,52937,12875,11,0,752,0,1
59,72777,13245,2,1,662,0,1
46,62762,14897,19,1,718,0,1
50,38538,13992,26,1,721,0,1
40,29352,8851,24,0,672,1,1
57,60614,21987,21,0,685,0,1
26,41668,16498,6,0,645,0,1
49,61925,17681,31,0,708,0,1
59,51026,8414,8,0,712,0,1
51,29515,12771,13,0,727,1,1
52,64060,10910,11,1,607,0,1
56,59372,25228,1,1,742,0,1
56,74015,4932,18,1,643,0,1
63,39298,22498,23,1,620,0,1
52,46641,17750,14,1,733,0,0
19,60289,16420,2,0,558,0,1
59,39515,4662,28,0,796,1,1
54,70136,8566,24,1,674,0,0
33,61261,18146,10,0,708,0,1
22,45763,17116,2,1,709,0,1
39,53535,7659,20,1,588,1,1
61,60740,15509,13,1,817,1,1
64,52867,16936,14,1,669,0,1
58,45400,13595,1,1,756,0,1
43,44168,13021,2,1,680,0,1
42,42173,14747,7,1,632,0,0
24,43903,15787,2,1,771,0,1
44,95355,17436,9,0,697,0,1
22,45359,11417,6,1,700,0,1
48,33547,18575,19,1,664,0,1
19,48663,2667,1,1,656,0,1
45,43048,8530,15,0,724,0,1
26,69572,19591,8,1,710,0,1
65,63275,11445,29,1,667,1,1
67,49970,18149,41,1,596,1,1
66,78781,12104,5,1,726,0,1
26,51132,22495,0,1,645,0,1
25,50452,17918,9,1,641,0,1
55,57646,20718,20,0,697,0,0
56,41388,13430,14,0,547,0,1
58,47104,17586,36,1,715,0,1
28,44781,8784,10,0,741,0,1
64,97908,12115,25,1,571,1,1
50,44778,17642,4,1,664,0,1
60,49245,20809,41,0,722,0,1
40,50918,13824,17,1,744,0,1
41,39311,15557,24,0,690,0,1
63,48354,10022,38,1,692,0,1
36,41820,20173,8,0,644,0,1
63,62243,16247,2,0,627,0,1
54,49589,21670,23,1,715,0,1
68,53553,9354,28,1,602,0,1
69,44721,12216,41,0,769,1,1
26,50076,21804,7,1,603,0,1
34,60178,11479,0,1,632,0,1
30,75802,20151,10,1,728,0,1
52,49254,15540,19,0,698,0,1
32,49049,18460,3,0,616,0,1
29,76770,17762,9,0,713,0,1
40,76928,10943,12,1,630,0,1
33,52412,13131,10,0,522,0,1
33,53718,20156,2,1,621,0,1
52,51853,9880,24,0,610,1,1
67,63045,19358,51,0,711,0,1
21,45816,12994,5,0,675,1,0
52,24634,14808,2,0,694,1,1
19,55363,13892,1,0,677,0,1
20,60920,11101,4,0,634,0,1
64,62146,15985,6,0,690,0,1
18,53512,17352,0,0,600,0,1
32,38618,12662,13,1,615,0,1
37,44255,14547,1,1,716,0,1
41,61933,4854,7,0,664,0,1
34,42884,21387,10,0,603,1,1
47,63264,16003,1,0,586,0,1
28,29555,14842,3,0,641,0,1
54,43727,14948,2,1,690,0,1
43,32756,11073,5,1,707,0,1
38,57460,10198,7,0,636,0,1
54,40119,16591,35,0,662,0,1
43,22470,22644,23,1,694,0,1
49,45324,13654,20,1,620,0,1
36,45396,11285,13,1,683,0,1
48,81120,12368,25,1,646,0,1
69,86592,9981,21,0,765,0,1
26,67982,20402,6,0,716,0,1
28,63543,23602,7,1,683,0,1
43,46890,11656,13,1,612,0,1
34,34166,14655,9,1,725,0,1
18,40914,12840,0,0,737,0,1
56,51116,10931,22,1,614,0,1
67,19636,20055,44,1,656,0,1
22,68866,13009,1,1,674,0,0
55,29850,22508,2,0,722,1,1
59,50531,7044,3,1,648,0,1
40,45733,15347,22,1,763,0,1
46,37451,20233,20,0,623,0,1
64,39585,16825,19,1,655,1,1
46,65720,11321,6,0,654,0,1
44,42661,23185,14,0,646,0,1
40,43201,16200,10,1,638,0,0
31,46200,4443,12,1,629,1,1
69,42148,12531,32,0,693,0,1
44,49336,17387,2,0,731,0,1
62,56055,17237,34,1,631,0,1
66,20843,17238,20,1,721,0,1
61,29129,9242,16,0,683,0,1
34,7202,12657,13,1,649,1,0
35,35958,5506,9,0,723,1,1
22,60688,12656,5,1,637,0,1
51,36936,15209,28,1,700,0,1
62,80795,11464,6,1,697,0,1
51,56579,4034,1,1,673,0,1
67,25227,15433,46,1,628,0,1
32,66672,18525,8,1,625,1,1
35,61847,12508,17,1,713,1,1
56,41344,9407,23,1,639,0,1
56,56982,16275,7,0,723,0,1
31,55397,20343,14,0,589,0,1
42,78029,15283,10,0,701,0,1
61,39367,19266,37,1,732,1,1
20,17222,9500,0,0,591,0,1
47,30411,21707,30,0,667,0,1
24,57350,14557,1,1,676,0,1
19,50524,15322,1,0,650,0,1
50,49462,10908,20,1,633,0,1
42,42667,19519,1,0,643,1,1
28,47168,10063,7,1,677,0,0
55,23463,13511,27,1,702,0,0
66,80901,7746,40,1,749,0,1
20,70970,13725,1,0,641,0,1
35,45148,26425,10,0,700,1,1
51,58652,16309,7,1,702,0,0
41,54121,15260,8,0,555,1,0
25,31110,10474,6,0,804,0,1
40,44160,16975,19,0,713,0,1
58,23733,21202,40,1,764,0,0
34,38284,20738,1,0,679,0,1
43,57459,8843,4,0,760,0,1
35,53761,13669,0,1,631,0,1
46,55710,15384,0,0,660,0,1
29,36457,20041,2,0,744,0,1
55,80433,11318,35,1,652,1,1
41,52036,12247,20,0,671,0,1
31,51517,17362,6,1,726,0,1
60,29228,19297,43,1,732,0,1
65,63546,18275,38,1,742,0,1
46,53736,8820,19,1,580,0,1
33,36037,15414,2,1,697,0,1
55,34752,20281,27,0,655,0,1
32,72440,10196,2,0,709,0,1
43,61211,11992,11,1,743,0,1
34,78870,15821,15,0,652,0,1
45,57537,4900,19,0,602,0,1
60,81717,22948,1,0,606,1,1
38,57697,12146,22,1,603,0,1
38,62548,12839,7,1,726,0,1
29,49927,13479,10,1,599,0,1
36,55464,10702,1,0,616,1,1
24,39189,10903,4,1,673,0,1
45,81906,2735,20,1,698,0,1
52,63919,12467,24,1,712,0,1
33,57644,19308,0,0,677,0,1
31,34231,15729,1,0,657,0,1
26,56028,16414,0,1,630,0,1
45,67429,12442,16,0,671,0,1
63,34708,15262,42,1,742,1,1
19,33121,14898,3,1,641,0,1
51,60880,17959,25,0,723,0,1
43,44983,10062,17,1,685,1,1
33,44122,10206,11,0,671,0,1
44,59933,5548,28,1,662,0,1
67,34352,16855,45,1,641,0,1
67,34734,16108,9,1,640,0,1
53,51065,12717,34,0,677,0,1
47,39554,14214,15,0,636,0,1
29,79428,9472,6,1,683,0,1
62,53501,10263,24,0,598,0,1
62,69231,7574,16,0,638,0,1
20,80209,18668,2,1,777,1,1
54,68795,15018,16,0,682,0,1
20,58071,14226,4,1,699,0,1
49,27126,4903,15,1,674,0,1
63,32724,25012,24,0,671,0,0
27,65073,16689,9,1,700,1,1
28,62759,14439,11,0,726,0,1
66,48496,18562,16,1,710,0,1
64,88531,18186,27,0,631,0,1
33,49776,16259,6,0,646,0,1
61,34642,18886,40,0,664,0,1
63,40268,9588,11,1,666,0,1
20,53263,9474,4,1,652,0,1
39,35355,14152,5,1,725,0,1
32,66160,13181,14,0,639,0,1
26,56116,19854,0,1,706,0,1
35,54906,18178,2,1,639,0,1
44,46391,9794,13,1,656,0,1
41,54010,12200,25,0,600,0,1
66,61742,11823,6,0,677,0,1
35,46597,8862,0,0,738,0,1
43,45746,19805,18,1,668,0,1
64,60105,11055,15,0,636,0,1
29,39269,7901,9,0,643,0,1
18,58659,6458,2,1,631,1,0
47,65056,28008,18,1,642,0,1
26,72424,20268,3,1,733,0,1
42,56148,11663,11,0,737,0,1
18,63788,13862,2,1,694,0,1
39,56962,18273,14,1,631,0,1
48,60039,16043,23,1,697,0,1
44,40104,11946,5,0,705,0,1
25,56742,11183,0,0,642,0,1
57,34259,21108,38,1,572,0,1
33,28114,17056,0,0,663,0,1
45,52897,22348,10,1,714,0,1
33,23525,19890,10,1,678,0,1
59,33651,19109,36,0,639,1,1
25,55615,20870,1,0,628,0,1
26,34874,6654,2,0,759,1,1
22,48880,19552,3,0,712,1,1
42,60604,20943,4,1,702,0,1
52,26805,18742,22,1,751,1,1
56,32028,15314,22,1,667,0,1
49,42745,15828,20,0,651,0,1
45,30130,18570,14,0,611,0,1
61,44564,18696,37,0,642,1,1
43,32440,11338,14,0,627,0,1
36,40482,16307,8,0,626,0,1
48,86527,25443,28,0,674,0,1
41,61083,18908,22,1,668,0,1
27,69186,14240,6,1,649,0,1
45,68024,19188,5,1,621,0,1
55,21352,16529,37,1,637,1,0
56,54540,15612,21,0,740,0,1
31,62908,18804,5,1,699,0,1
48,59213,21790,32,0,695,0,1
18,64173,11578,2,1,722,0,1
32,41458,15695,11,0,616,0,1
18,25574,19034,2,0,703,0,1
55,49276,10768,32,1,746,0,1
60,88376,8488,7,0,590,0,1
48,31169,14946,8,1,675,0,1
69,45348,12940,23,0,645,0,1
23,68193,16166,7,1,639,0,1
60,39700,21121,39,1,695,0,1
36,46352,26615,5,1,768,0,1
35,73791,12113,7,1,682,0,1
54,37528,13894,25,0,608,0,0
33,58035,12243,17,0,825,0,1
32,42820,9566,1,0,758,0,1
31,39745,11858,4,1,648,0,1
59,69924,17061,3,0,719,0,1
36,40251,16221,8,0,644,0,1
54,25116,18563,36,0,734,0,1
65,50098,13082,34,0,655,0,1
27,55296,10375,8,1,662,0,1
19,56245,11337,2,0,734,0,1
56,28336,14128,10,0,717,0,1
38,52568,16038,16,1,685,0,1
25,36958,7859,0,0,673,0,1
18,54780,13602,1,0,799,0,0
66,26491,6640,21,1,714,1,1
65,52450,17987,22,0,693,0,1
63,38620,11756,18,1,792,0,1
63,65931,17544,12,1,631,0,1
61,54343,12490,19,0,667,0,1
67,56632,20847,37,0,668,0,1
67,39988,18559,22,0,594,0,0
51,68881,16750,16,1,693,1,1
28,68090,21111,8,1,607,0,1
22,25435,10361,6,1,749,1,1
30,89788,9815,9,0,596,0,1
51,38905,5643,8,1,624,0,1
22,55848,14131,2,0,727,0,1
18,42740,15886,2,0,683,0,1
21,59382,9089,5,1,677,0,1
54,24923,7779,34,1,753,0,1
55,70840,6657,33,1,654,0,1
30,37748,7814,8,0,610,0,1
22,29678,20269,1,1,660,1,1
31,65408,12449,9,0,602,0,1
34,70255,9671,17,1,638,0,1
63,53486,5612,20,0,685,0,1
37,58171,26175,2,0,647,0,0
40,49594,12140,24,1,774,0,1
51,46042,13859,13,0,683,0,0
61,56920,9785,18,0,617,0,1
39,64909,10499,0,1,647,0,1
29,58221,2897,13,0,644,0,1
24,34356,9444,7,1,668,0,1
35,47480,15297,12,0,685,0,1
47,31568,10653,2,1,578,0,0
66,64988,14723,5,0,655,0,1
35,68616,10430,8,0,592,0,0
24,62827,20316,2,1,691,0,1
58,53074,16174,33,1,516,0,1
66,43539,15072,3,1,724,0,1
50,36914,14339,12,0,685,0,1
24,39132,19222,2,1,749,1,1
46,54632,16787,16,1,575,0,1
67,55059,8231,7,1,722,0,1
62,64476,20497,0,0,720,0,1
51,61835,15234,16,1,654,0,0
62,64375,22678,7,1,614,0,0
25,36301,17094,3,1,601,0,1
55,73496,10163,19,0,709,0,1
31,47597,21786,10,1,655,1,1
53,52159,22644,29,1,687,1,1
35,54060,7937,17,0,646,1,1
23,36785,18661,7,1,750,0,1
64,58746,9960,21,1,673,0,1
57,28518,16355,20,0,651,0,1
58,38649,10313,7,0,676,0,1
62,102562,7441,36,1,617,0,1
26,47304,9877,4,1,695,0,1
67,23789,19637,19,1,720,0,1
32,33145,15535,10,1,708,0,1
66,52334,16689,25,0,615,1,1
45,38807,14927,7,1,721,0,1
40,20828,19475,17,1,778,0,1
41,51676,10145,7,0,661,0,1
62,50025,16179,1,1,720,0,1
29,37832,10515,9,0,756,0,1
29,73412,21014,0,0,634,0,1
40,43656,12521,14,1,548,0,1
24,50543,13137,8,0,691,0,1
33,45811,19345,10,1,697,0,1
67,56581,14771,9,1,667,0,1
65,25374,8953,49,1,622,0,1
30,33786,24087,5,1,710,0,1
24,67008,23636,4,1,643,0,1
53,63672,13273,36,1,671,0,1
31,82471,5798,4,1,626,0,1
21,66137,4683,4,0,709,1,1
27,85267,7314,10,1,647,0,1
20,46209,21353,0,1,759,1,1
49,56707,12994,12,0,598,0,1
57,53611,10348,32,1,724,0,1
31,53286,17552,5,1,623,0,0
55,66228,15372,11,0,769,0,1
58,32565,12564,2,0,641,0,1
26,24312,15243,0,0,707,0,1
45,43464,18824,22,1,576,0,1
60,34591,23760,11,0,702,1,0
22,46885,24471,3,0,708,0,1
68,88712,21385,52,1,628,1,1
30,70195,14736,6,0,689,0,1
28,68949,18588,11,1,640,0,0
44,49586,12145,22,1,698,0,1
49,13358,15853,26,1,652,1,1
51,53890,4855,2,1,659,0,1
27,45299,12221,5,0,728,0,1
44,75691,22694,2,1,628,0,1
47,33665,17376,31,1,658,0,1
22,58661,14272,2,0,754,0,1
